Rank,Player,Club,Nationality,Stat
1,Erling Haaland,Manchester City,Norway,59
2,Mohamed Salah,Liverpool,Egypt,56
3,Phil Foden,Manchester City,England,48
4,Ollie Watkins,Aston Villa,England,47
5,Darwin Núñez,Liverpool,Uruguay,46
5,Cole Palmer,Chelsea,England,46
7,Alexander Isak,Newcastle United,Sweden,43
8,Bruno Fernandes,Manchester United,Portugal,41
8,Nicolas Jackson,Chelsea,Senegal,41
10,Julián Álvarez,Manchester City,Argentina,40
10,Son Heung-Min,Tottenham Hotspur,South Korea,40
12,Matheus Cunha,Wolverhampton Wanderers,Brazil,38
12,Dominic Solanke,Bournemouth,England,38
14,Jarrod Bowen,West Ham United,England,37
14,Bukayo Saka,Arsenal,England,37
16,Eberechi Eze,Crystal Palace,England,34
17,Luis Díaz,Liverpool,Colombia,32
18,Dominic Calvert-Lewin,Everton,England,31
18,Anthony Gordon,Newcastle United,England,31
18,Carlton Morris,-,England,31
18,Antoine Semenyo,Bournemouth,Ghana,31
22,Jean-Philippe Mateta,Crystal Palace,France,29
23,Alejandro Garnacho,Manchester United,Argentina,28
23,Kai Havertz,Arsenal,Germany,28
25,Rodrigo Muniz,Fulham,Brazil,27
26,João Pedro,Brighton & Hove Albion,Brazil,26
26,Yoane Wissa,Brentford,DR Congo,26
26,Chris Wood,Nottingham Forest,New Zealand,26
29,Richarlison,Tottenham Hotspur,Brazil,25
30,Cody Gakpo,Liverpool,Netherlands,24
30,Dejan Kulusevski,Tottenham Hotspur,Sweden,24
32,Moussa Diaby,-,France,23
32,Abdoulaye Doucouré,Everton,Mali,23
32,Anthony Elanga,Nottingham Forest,Sweden,23
32,James Maddison,Tottenham Hotspur,England,23
32,Martin Ødegaard,Arsenal,Norway,23
37,Simon Adingra,Brighton & Hove Albion,Cote D’Ivoire,22
37,Zeki Amdouni,-,Switzerland,22
37,Rodri,Manchester City,Spain,22
37,Keane Lewis-Potter,Brentford,England,22
37,Gabriel Martinelli,Arsenal,Brazil,22
50,Evan Ferguson,Brighton & Hove Albion,Ireland,20
60,Ben Brereton,Sheffield United,Chile,19
66,Pablo Sarabia,Wolverhampton Wanderers,Spain,18
80,Antony,Manchester United,Brazil,16
88,Dwight McNeil,Everton,England,15
96,Chiedozie Ogbene,-,Ireland,14
109,Lewis Dunk,Brighton & Hove Albion,England,12
116,Ansu Fati,-,Spain,11
130,Facundo Buonanotte,Brighton & Hove Albion,Argentina,9
