#,Team,Name,Goals,Expected Goals (xG),Big chances missed,Succ. dribbles,Total shots,Goal conversion %,Average Sofascore Rating
1,,Erling Haaland,27,29.32,34,12,121,22.31,7.36
2,,Cole Palmer,22,18.21,7,52,109,20.18,7.7
3,,Alexander Isak,21,20.29,21,42,78,26.92,7.17
4,,Phil Foden,19,10.34,7,47,105,18.1,7.79
5,,Ollie Watkins,19,16.93,22,26,107,17.76,7.32
6,,Dominic Solanke,19,19.63,14,39,109,17.43,7.04
7,,Mohamed Salah,18,21.21,17,27,114,15.79,7.58
8,,Heung-min Son,17,12.01,7,39,85,20,7.55
9,,Bukayo Saka,16,15.5,11,49,108,14.81,7.72
10,,Jarrod Bowen,16,11.65,13,34,84,19.05,7.14
11,,Jean-Philippe Mateta,16,10.94,7,25,46,34.78,7.03
12,,Nicolas Jackson,14,18.64,24,54,80,17.5,7.01
13,,Chris Wood,14,11.92,12,6,48,29.17,6.94
14,,Kai Havertz,13,12.34,13,16,69,18.84,7.23
15,,Matheus Cunha,12,9.49,6,64,73,16.44,7.26
16,,Yoane Wissa,12,10.57,12,20,67,17.91,7.09
17,,Leandro Trossard,12,7.9,7,25,60,20,7.06
18,,Hee-Chan Hwang,12,7.69,8,36,45,26.67,6.96
19,,Eberechi Eze,11,9.12,5,69,83,13.25,7.58
20,,Anthony Gordon,11,10.23,9,54,81,13.58,7.41
21,,Julián Álvarez,11,13.12,10,20,98,11.22,7.36
22,,Richarlison,11,9.59,7,10,62,17.74,7.08
23,,Carlton Morris,11,11.4,7,31,71,15.49,7.03
24,,Darwin Núñez,11,16.39,27,15,108,10.19,7.03
25,,Bruno Fernandes,10,10.01,7,19,95,10.53,7.75
26,,Michael Olise,10,5.51,3,40,57,17.54,7.74
27,,Diogo Jota,10,5.32,3,15,41,24.39,7.26
28,,Leon Bailey,10,6.33,1,57,53,18.87,7.13
29,,Rasmus Højlund,10,7.64,13,18,38,26.32,6.86
30,,Elijah Adebayo,10,5.91,4,18,31,32.26,6.71
31,,Bryan Mbeumo,9,9.81,9,26,53,16.98,7.27
32,,Douglas Luiz,9,6.97,3,24,48,18.75,7.27
33,,João Pedro,9,11.98,9,43,75,12,7.21
34,,Rodrigo Muniz,9,8.72,4,5,73,12.33,7.13
35,,Callum Wilson,9,8.87,6,14,35,25.71,6.89
36,,Rodri,8,4.07,2,42,62,12.9,8.01
37,,Martin Ødegaard,8,7.4,4,37,77,10.39,7.67
38,,Luis Díaz,8,11.88,13,67,94,8.51,7.19
39,,Cody Gakpo,8,8.96,6,31,66,12.12,7.11
40,,Dejan Kulusevski,8,4.66,4,54,57,14.04,7.1
